FullName,ContactInfo,DepotID,LicenceType,LicenceExpiryDate,EmploymentStatus,EmergencyContact
Duong Huu Viet,0396469847 | duong.huu.viet@fleet.vn,2,C,2027-07-05,Suspended,0777069368
Vo Tien Vu,0372540545 | vo.tien.vu@company.vn,4,C,2026-10-10,Active,0976334893
Ly Kim Ngoc,0945565713 | ly.kim.ngoc@outlook.com,2,FC,2028-11-25,Active,0775606985
Phan Thanh Long,0775424678 | phan.thanh.long@company.vn,3,B2,2028-08-23,Active,0987263537
Tran Duc Loc,0771642425 | tran.duc.loc@gmail.com,1,C,2028-06-17,Active,0362013530
Ly Quynh Nga,0845104954 | ly.quynh.nga@outlook.com,4,FC,2027-10-01,Active,0771138082
Le Ngoc Van,0900197222 | le.ngoc.van@gmail.com,3,FC,2027-06-08,Active,0853205719
Pham Phuong Thao,0919240824 | pham.phuong.thao@company.vn,1,C,2031-03-15,Active,0379206488
Pham Bao Dung,0367363528 | pham.bao.dung@outlook.com,3,B2,2027-04-21,Active,0817534686
Le Ngoc Thao,0792342226 | le.ngoc.thao@outlook.com,3,B2,2030-02-24,Active,0326560705
Vu Thi Ngoc,0812239418 | vu.thi.ngoc@company.vn,2,B2,2026-10-31,Active,0339370906
Hoang Huu Vu,0812923520 | hoang.huu.vu@fleet.vn,4,B2,2026-10-25,Active,0906799159
Pham Van Khanh,0708114771 | pham.van.khanh@company.vn,3,C,2027-05-12,Active,0397312858
Le Thanh Bich,0918522112 | le.thanh.bich@fleet.vn,2,B2,2028-06-03,Active,0349125475
Ly Phuong Nga,0915842918 | ly.phuong.nga@company.vn,4,B2,2028-07-16,Inactive,0980098193
Phan Thi Lan,0976187763 | phan.thi.lan@company.vn,2,B2,2030-11-11,Active,0360244448
Le Thu Bich,0352043645 | le.thu.bich@gmail.com,1,C,2026-10-15,Active,0845098033
Nguyen Huu Duc,0842504746 | nguyen.huu.duc@gmail.com,3,B2,2031-05-03,Active,0780514470
Le Gia Phong,0701716220 | le.gia.phong@fleet.vn,3,C,2028-04-02,Active,0361548152
Nguyen Huu Hung,0342916168 | nguyen.huu.hung@gmail.com,4,C,2031-03-14,Active,0917349559
Do My Nhi,0846872842 | do.my.nhi@gmail.com,1,C,2030-02-17,Active,0839905828
Duong Minh Long,0855435226 | duong.minh.long@fleet.vn,2,B2,2028-06-08,Active,0973848140
Tran Kim Hoa,0795482611 | tran.kim.hoa@gmail.com,2,FC,2030-05-20,Suspended,0903007054
Ly Quoc Binh,0786966013 | ly.quoc.binh@fleet.vn,1,B2,2028-12-05,Active,0339000978
Tran Kim Quynh,0912062660 | tran.kim.quynh@company.vn,1,B2,2026-08-14,Active,0942331449
Hoang Thu My,0766247008 | hoang.thu.my@company.vn,3,FC,2027-12-03,Active,0359172332
Vu Thu Dung,0965924011 | vu.thu.dung@fleet.vn,4,C,2030-02-27,Active,0330821463
Vo Thanh Lan,0975607944 | vo.thanh.lan@gmail.com,3,C,2029-06-16,Active,0360154221
Ngo Van Loc,0770485236 | ngo.van.loc@gmail.com,2,C,2028-12-04,Active,0843559177
Vo Tien Hai,0763467489 | vo.tien.hai@company.vn,1,C,2027-11-20,Suspended,0778228886
Vu Kim Anh,0822000858 | vu.kim.anh@outlook.com,2,FC,2028-05-23,Active,0325976360
Dang Anh Nam,0795352606 | dang.anh.nam@outlook.com,3,FC,2029-06-04,Inactive,0320971221
Pham Thanh Linh,0856601199 | pham.thanh.linh@fleet.vn,1,B2,2027-06-07,Inactive,0977721735
Dang Ngoc Ngoc,0980185209 | dang.ngoc.ngoc@fleet.vn,3,B2,2027-05-09,Active,0341356197
Nguyen My Mai,0978216770 | nguyen.my.mai@company.vn,3,FC,2029-10-17,Active,0939754338
Vo Minh An,0786489808 | vo.minh.an@fleet.vn,3,C,2027-05-21,Active,0901497360
Pham Kim Phuong,0339696892 | pham.kim.phuong@outlook.com,3,FC,2029-08-13,Active,0349347402
Ho Huu Duc,0781973155 | ho.huu.duc@fleet.vn,4,FC,2029-06-27,Active,0390377907
Ly Phuong Trang,0333803710 | ly.phuong.trang@fleet.vn,1,C,2028-10-23,Inactive,0358084119
Tran Thanh Hung,0356027198 | tran.thanh.hung@company.vn,1,C,2026-12-06,Inactive,0810527715
Vu Minh Khoa,0781945268 | vu.minh.khoa@outlook.com,3,C,2030-06-21,Active,0706494121
Duong Tien Dat,0399776129 | duong.tien.dat@fleet.vn,4,C,2031-02-15,Active,0922164341
Duong Thanh Phong,0704262388 | duong.thanh.phong@company.vn,4,C,2027-08-16,Active,0834200408
Ho Bao Vu,0362174704 | ho.bao.vu@gmail.com,1,FC,2029-10-13,Active,0922288924
Ly Thanh Anh,0855917562 | ly.thanh.anh@gmail.com,3,B2,2027-03-26,Active,0964091822
Do Bao Vu,0947434177 | do.bao.vu@outlook.com,1,B2,2031-04-05,Suspended,0706214865
Vu Bao Khoa,0773754456 | vu.bao.khoa@fleet.vn,1,B2,2029-01-20,Active,0908282490
Ho Thanh Hoa,0700512542 | ho.thanh.hoa@gmail.com,3,B2,2029-08-21,Active,0396025792
Ho Kim Phuong,0838243059 | ho.kim.phuong@gmail.com,1,C,2031-06-22,Active,0324334600
Do Duc Khanh,0961812046 | do.duc.khanh@fleet.vn,1,C,2028-03-13,Active,0357737784
Duong Quoc Viet,0376817211 | duong.quoc.viet@company.vn,2,B2,2027-02-26,Active,0948255699
Ly Quynh Ha,0389467222 | ly.quynh.ha@fleet.vn,3,C,2026-12-14,Active,0384359816
Pham Anh Dat,0947155219 | pham.anh.dat@fleet.vn,3,C,2028-07-02,Active,0395050258
Vu Bao Khanh,0345607573 | vu.bao.khanh@company.vn,1,C,2029-01-09,Active,0932807776
Tran Thanh Hung,0346484860 | tran.thanh.hung@fleet.vn,3,C,2027-03-29,Active,0961331967
Le Ngoc Phuong,0832571826 | le.ngoc.phuong@fleet.vn,3,C,2028-07-17,Active,0773040502
Vu Thanh Loc,0841314759 | vu.thanh.loc@gmail.com,1,C,2027-06-03,Active,0930315750
Nguyen Thu Hanh,0826706699 | nguyen.thu.hanh@company.vn,1,C,2029-10-18,Active,0360201381
Hoang Duc Loc,0395375021 | hoang.duc.loc@fleet.vn,1,C,2028-12-04,Inactive,0366621567
Hoang Thanh Anh,0787841924 | hoang.thanh.anh@fleet.vn,1,C,2030-06-02,Active,0792933778
Le Gia Long,0372990034 | le.gia.long@gmail.com,3,C,2029-08-31,Active,0765959021
Dang Anh Vu,0364806060 | dang.anh.vu@gmail.com,1,B2,2027-12-12,Suspended,0392298155
Vu Minh Duc,0825775615 | vu.minh.duc@company.vn,3,C,2029-09-17,Active,0832432887
Ly Tien Trung,0790987750 | ly.tien.trung@company.vn,2,B2,2029-08-01,Active,0388901711
Pham Gia Phong,0768599986 | pham.gia.phong@outlook.com,2,B2,2028-05-05,Active,0786380688
Tran Phuong Huong,0325741796 | tran.phuong.huong@company.vn,1,C,2028-10-31,Active,0342230207
Le Phuong Phuong,0920729497 | le.phuong.phuong@fleet.vn,2,FC,2027-03-03,Active,0357489980
Phan Gia Son,0323609297 | phan.gia.son@gmail.com,4,FC,2028-01-07,Active,0773851548
Ngo Phuong Thu,0702913579 | ngo.phuong.thu@company.vn,4,FC,2031-02-08,Active,0772465810
Do Thanh Khoa,0826085950 | do.thanh.khoa@gmail.com,3,C,2028-08-23,Active,0765974284
Ngo Hong Quynh,0856776780 | ngo.hong.quynh@gmail.com,3,C,2027-12-14,Inactive,0365339231
Ngo Anh Nam,0378188277 | ngo.anh.nam@outlook.com,3,FC,2030-06-30,Active,0795906051
Vo Gia An,0859752663 | vo.gia.an@company.vn,3,B2,2029-10-15,Active,0841878988
Ly Ngoc Giang,0325815364 | ly.ngoc.giang@gmail.com,4,B2,2028-11-09,Active,0347334080
